date,publisher,candidate,sentiment
2020-03-15,Fox,biden,0.01992063492063492
2020-03-15,Fox,sanders,0.13761904761904767
2020-03-15,Fox,trump,-0.010317460317460319
2020-03-15,Fox,warren,0.0
2020-03-15,NBC,biden,0.0929898313492063
2020-03-15,NBC,gabbard,0.23750000000000002
2020-03-15,NBC,klobuchar,0.0
2020-03-15,NBC,sanders,0.11807795698924739
2020-03-15,NBC,trump,0.06767468888479526
2020-03-15,NBC,warren,0.08750000000000002
2020-03-15,NewYorkTimes,,0.10000000000000002
2020-03-15,NewYorkTimes,biden,0.06824130340841562
2020-03-15,NewYorkTimes,sanders,0.04920338303671646
2020-03-15,NewYorkTimes,trump,0.02624295954941114
2020-03-15,NewYorkTimes,warren,0.06666666666666667
2020-03-15,Politico,,-0.125
2020-03-15,Politico,biden,0.1892628205128205
2020-03-15,Politico,gabbard,0.0
2020-03-15,Politico,klobuchar,0.1444444444444444
2020-03-15,Politico,sanders,0.029981041417211637
2020-03-15,Politico,trump,0.13947405768834337
2020-03-15,WashingtonTimes,,-0.08
2020-03-15,WashingtonTimes,biden,0.021848828420257014
2020-03-15,WashingtonTimes,bloomberg,0.0
2020-03-15,WashingtonTimes,sanders,0.06076856843366273
2020-03-15,WashingtonTimes,trump,0.06770344959024199
2020-03-15,WashingtonTimes,warren,0.0
2020-03-16,AP,,-0.5458333333333334
2020-03-16,AP,biden,0.04979432633411333
2020-03-16,AP,sanders,0.02665425261013495
2020-03-16,AP,trump,0.06866210256659688
2020-03-16,Breitbart,biden,0.021025910364145656
2020-03-16,Breitbart,bloomberg,-0.029134199134199134
2020-03-16,Breitbart,buttigieg,0.03409090909090909
2020-03-16,Breitbart,klobuchar,0.0
2020-03-16,Breitbart,sanders,-0.03717757936507936
2020-03-16,Breitbart,steyer,0.0625
2020-03-16,Breitbart,trump,0.056211336972206545
2020-03-16,Breitbart,warren,0.1527777777777778
2020-03-16,Breitbart,yang,0.027976190476190474
2020-03-16,Buzzfeed,biden,0.05555555555555556
2020-03-16,Buzzfeed,gabbard,0.0
2020-03-16,Buzzfeed,trump,0.04246632996632997
2020-03-16,Buzzfeed,yang,0.03253968253968254
2020-03-16,Fox,,0.07222222222222222
2020-03-16,Fox,biden,0.08979151635401637
2020-03-16,Fox,bloomberg,0.10909090909090911
2020-03-16,Fox,gabbard,-0.041666666666666664
2020-03-16,Fox,sanders,0.16292533174886129
2020-03-16,Fox,trump,0.006724483275578164
2020-03-16,Fox,warren,-0.03452380952380952
2020-03-16,Fox,yang,0.11233766233766235
2020-03-16,NBC,,0.0
2020-03-16,NBC,biden,0.08477002164502169
2020-03-16,NBC,gabbard,0.0
2020-03-16,NBC,klobuchar,0.0
2020-03-16,NBC,sanders,0.11355436230436222
2020-03-16,NBC,trump,0.15105647174694775
2020-03-16,NBC,warren,0.30000000000000004
2020-03-16,NewYorkTimes,biden,0.10050245098039219
2020-03-16,NewYorkTimes,klobuchar,0.3333333333333333
2020-03-16,NewYorkTimes,sanders,0.061123786123786134
2020-03-16,NewYorkTimes,trump,0.05119198312236289
2020-03-16,NewYorkTimes,warren,0.25
2020-03-16,Politico,biden,0.08997646923783288
2020-03-16,Politico,sanders,0.10185185185185185
2020-03-16,Politico,trump,0.016360150049603166
2020-03-16,Politico,yang,-0.08666666666666666
2020-03-16,WashingtonTimes,,-0.04999999999999999
2020-03-16,WashingtonTimes,biden,0.07377450980392158
2020-03-16,WashingtonTimes,gabbard,0.06666666666666667
2020-03-16,WashingtonTimes,sanders,0.06233839429491604
2020-03-16,WashingtonTimes,trump,0.0743794625288131
2020-03-16,WashingtonTimes,yang,0.037500000000000006
2020-03-17,AP,biden,0.11492400419287219
2020-03-17,AP,sanders,0.12179894179894193
2020-03-17,AP,trump,0.03685842886537328
2020-03-17,Breitbart,,0.25
2020-03-17,Breitbart,biden,0.2095725776281332
2020-03-17,Breitbart,bloomberg,0.02158730158730159
2020-03-17,Breitbart,gabbard,0.0
2020-03-17,Breitbart,sanders,0.11424438380003164
2020-03-17,Breitbart,trump,0.06267043357159632
2020-03-17,Breitbart,warren,0.07373737373737373
2020-03-17,Breitbart,yang,0.05138888888888888
2020-03-17,Buzzfeed,biden,0.18648989898989893
2020-03-17,Buzzfeed,gabbard,0.0
